规格,平均价,发布日期
,2.41,2025-11-30
,2.41,2025-11-20
,2.41,2025-11-10
,2.41,2025-10-31
,2.41,2025-10-20
,2.41,2025-10-10
,2.41,2025-09-30
,2.41,2025-09-20
,2.41,2025-09-10
,2.41,2025-08-31
,2.41,2025-08-20
,2.41,2025-08-10
,2.41,2025-07-31
,2.41,2025-07-20
,2.41,2025-07-10
,2.41,2025-06-30
,2.41,2025-06-20
,2.41,2025-06-10
,2.41,2025-05-31
,2.41,2025-05-20
,2.41,2025-05-10
,2.41,2025-04-30
,2.41,2025-04-20
,2.41,2025-04-10
,2.41,2025-03-31
,2.41,2025-03-20
,2.41,2025-03-10
,2.41,2025-02-28
,2.41,2025-02-20
,2.41,2025-02-10
,2.41,2025-01-20
,2.41,2025-01-10
,2.41,2024-12-31
,2.41,2024-12-20
,2.41,2024-12-10
,2.41,2024-11-30
,2.41,2024-11-20
,2.41,2024-11-10
,2.41,2024-10-31
,2.41,2024-10-20
,2.41,2024-10-10
,2.41,2024-09-30
,2.41,2024-09-20
,2.41,2024-09-10
